gen	nevals	avg     	std      	min     	max     
0  	512   	0.598919	0.0940887	0.289017	0.811726
1  	414   	0.492231	0.0760986	0.277044	0.660886
2  	422   	0.437396	0.0821707	0.238508	0.683595
3  	432   	0.382008	0.0804221	0.230113	0.596064
4  	421   	0.337275	0.0730946	0.21057 	0.548032
5  	428   	0.326205	0.076887 	0.205615	0.549546
6  	432   	0.318888	0.0777639	0.196532	0.533581
7  	435   	0.307102	0.0805446	0.186623	0.547206
8  	438   	0.303208	0.0845366	0.181255	0.538673
9  	405   	0.282107	0.0807823	0.177539	0.5139  
10 	429   	0.285968	0.0888943	0.177539	0.528764
11 	405   	0.271513	0.0843738	0.177539	0.524773
12 	414   	0.260649	0.0790789	0.175888	0.505505
13 	447   	0.258623	0.0764014	0.174787	0.484173
14 	432   	0.250875	0.0727964	0.173686	0.466694
15 	435   	0.247219	0.0747088	0.17286 	0.487476
16 	425   	0.249718	0.0772574	0.17286 	0.473438
17 	421   	0.242464	0.071455 	0.172172	0.444123
18 	431   	0.242423	0.0705599	0.169694	0.448527
19 	436   	0.239822	0.0723488	0.169694	0.448252
20 	411   	0.244161	0.0744506	0.169694	0.477016
21 	426   	0.237713	0.0696219	0.169694	0.434627
22 	409   	0.239054	0.0764516	0.169144	0.458299
23 	447   	0.254427	0.081882 	0.168456	0.493807
24 	424   	0.244551	0.0772002	0.168456	0.476879
25 	430   	0.238538	0.0724405	0.168456	0.456923
26 	430   	0.240903	0.0760199	0.168456	0.47798 
27 	406   	0.239784	0.0788203	0.168318	0.47798 
28 	424   	0.247693	0.0786258	0.168318	0.477704
29 	425   	0.243045	0.076249 	0.167905	0.474952
30 	432   	0.248877	0.0778127	0.167905	0.492293
31 	436   	0.250076	0.0814062	0.167905	0.516791
32 	421   	0.241581	0.0748982	0.167905	0.469171
33 	414   	0.243112	0.0758352	0.167905	0.475778
34 	420   	0.241153	0.0728428	0.167905	0.454858
35 	439   	0.251577	0.0779611	0.167768	0.478805
36 	423   	0.240028	0.0726033	0.167768	0.46463 
37 	445   	0.249281	0.0788998	0.167768	0.487063
38 	436   	0.24282 	0.0792715	0.16763 	0.45995 
39 	425   	0.238921	0.075295 	0.16763 	0.471786
40 	442   	0.236956	0.0760853	0.16763 	0.501652
41 	427   	0.235746	0.0719771	0.167492	0.418249
42 	437   	0.240862	0.077608 	0.167355	0.457611
43 	455   	0.242141	0.0758851	0.166529	0.474952
44 	433   	0.246114	0.0770464	0.166529	0.475227
45 	433   	0.23422 	0.0727649	0.166529	0.44839 
46 	424   	0.229824	0.0694951	0.166529	0.408203
47 	446   	0.231971	0.0695481	0.166529	0.47041 
48 	408   	0.233497	0.0713562	0.166529	0.460363
49 	419   	0.238996	0.07307  	0.163088	0.457336
50 	411   	0.232437	0.0726039	0.163088	0.477291
Loss of the best individual 0.16309
Loss: 0.16973, f1-score: 0.13010, acc: 0.08863
