gen	nevals	avg     	std      	min     	max     
0  	512   	0.611589	0.0881741	0.275805	0.808698
1  	446   	0.502236	0.0817764	0.232728	0.696669
2  	418   	0.42782 	0.0808915	0.225984	0.625378
3  	438   	0.358921	0.0765149	0.220479	0.582989
4  	421   	0.30506 	0.064282 	0.212359	0.536746
5  	404   	0.286004	0.0622637	0.196257	0.458987
6  	421   	0.277968	0.0592784	0.180017	0.441921
7  	421   	0.267065	0.0610205	0.179328	0.467382
8  	437   	0.268428	0.067393 	0.17809 	0.483347
9  	426   	0.271956	0.0734597	0.17809 	0.492706
10 	419   	0.268729	0.0777879	0.17809 	0.488577
11 	439   	0.268612	0.0768447	0.175337	0.493256
12 	422   	0.263238	0.0728005	0.175337	0.465731
13 	433   	0.268342	0.0837898	0.174374	0.533031
14 	427   	0.257514	0.0771557	0.173961	0.513075
15 	434   	0.265227	0.0804207	0.17341 	0.519268
16 	435   	0.259802	0.0749997	0.17052 	0.47619 
17 	430   	0.256663	0.07678  	0.170383	0.508258
18 	437   	0.255039	0.0764953	0.170383	0.489127
19 	426   	0.259593	0.0820269	0.169832	0.496009
20 	434   	0.250574	0.0796906	0.169694	0.503578
21 	419   	0.249093	0.0770912	0.169694	0.466144
22 	438   	0.250328	0.0763942	0.168869	0.497523
23 	439   	0.257114	0.0811771	0.168456	0.480732
24 	441   	0.250407	0.0754371	0.168456	0.485549
25 	417   	0.244479	0.0769907	0.168456	0.496284
26 	452   	0.252376	0.0803257	0.167492	0.469722
27 	423   	0.239046	0.068593 	0.167492	0.452931
28 	423   	0.240817	0.0718385	0.167492	0.42114 
29 	431   	0.235807	0.0711777	0.16708 	0.476603
30 	454   	0.235546	0.0706243	0.166942	0.469722
31 	429   	0.228709	0.0651475	0.166254	0.41646 
32 	438   	0.227699	0.0669243	0.166254	0.434627
33 	427   	0.222157	0.0609012	0.166254	0.399807
34 	446   	0.225002	0.0673566	0.166254	0.427058
35 	417   	0.220872	0.0668239	0.165979	0.455546
36 	427   	0.213446	0.0604779	0.165979	0.409441
37 	410   	0.213096	0.0611148	0.165979	0.410955
38 	427   	0.213265	0.0582226	0.165979	0.391963
39 	437   	0.213168	0.0600084	0.163501	0.389485
40 	436   	0.218617	0.0626355	0.163501	0.44027 
41 	424   	0.219552	0.0609617	0.163501	0.392238
42 	418   	0.212989	0.0561524	0.163501	0.385907
43 	429   	0.212175	0.0559837	0.163501	0.387146
44 	418   	0.213809	0.0591966	0.163501	0.403386
45 	432   	0.215231	0.0573366	0.163501	0.379851
46 	454   	0.224264	0.0619923	0.163501	0.395266
47 	422   	0.214147	0.057205 	0.163501	0.397605
48 	441   	0.221698	0.06273  	0.163501	0.440132
49 	439   	0.221099	0.0625841	0.161299	0.437242
50 	423   	0.222407	0.0637345	0.161299	0.4455  
Loss of the best individual 0.16130
Loss: 0.16207, f1-score: 0.18631, acc: 0.12960
