gen	nevals	avg     	std      	min     	max     
0  	512   	0.560208	0.0678415	0.342711	0.700767
1  	439   	0.490642	0.0612386	0.327366	0.640665
2  	414   	0.445742	0.0612532	0.303069	0.608696
3  	433   	0.412823	0.0646892	0.299659	0.586957
4  	425   	0.384861	0.0612557	0.277067	0.5763  
5  	440   	0.374681	0.060129 	0.277067	0.546462
6  	436   	0.362865	0.0619482	0.277067	0.547315
7  	445   	0.364281	0.0624673	0.263427	0.525575
8  	446   	0.355338	0.0601199	0.252344	0.528559
9  	436   	0.352051	0.0629573	0.252344	0.531543
10 	437   	0.338914	0.0576149	0.252344	0.48977 
11 	430   	0.330134	0.0555491	0.252344	0.50341 
12 	447   	0.330554	0.0570005	0.252344	0.498295
13 	426   	0.322377	0.0552943	0.252344	0.493606
14 	447   	0.316037	0.0521055	0.248082	0.492327
15 	439   	0.314864	0.0529819	0.248082	0.469309
16 	430   	0.307091	0.049243 	0.248082	0.453964
17 	421   	0.307952	0.0531096	0.248082	0.492754
18 	428   	0.306472	0.0514011	0.248082	0.467604
19 	438   	0.308566	0.0520645	0.248082	0.462489
20 	434   	0.310902	0.0553864	0.248082	0.492754
21 	440   	0.311855	0.0545561	0.243393	0.465047
22 	424   	0.30552 	0.0525112	0.241262	0.481245
23 	427   	0.306426	0.0531028	0.241262	0.453538
24 	428   	0.310772	0.053001 	0.241262	0.462916
25 	429   	0.313692	0.0596068	0.241262	0.48977 
26 	431   	0.308459	0.0530015	0.239557	0.463768
27 	432   	0.311716	0.0550911	0.237852	0.481245
28 	411   	0.302796	0.0521149	0.237852	0.455669
29 	429   	0.31236 	0.0569502	0.237852	0.477835
30 	432   	0.314845	0.0591887	0.237852	0.484228
31 	410   	0.311155	0.0603335	0.237852	0.49659 
32 	433   	0.310192	0.0554649	0.237425	0.47613 
33 	444   	0.314772	0.0584244	0.237425	0.49318 
34 	425   	0.313442	0.0550546	0.236147	0.456522
35 	446   	0.315139	0.0586254	0.236147	0.474425
36 	416   	0.308017	0.0567759	0.236147	0.478687
37 	440   	0.304869	0.0505518	0.23572 	0.471014
38 	412   	0.304265	0.0539495	0.23572 	0.471441
39 	439   	0.305457	0.0529698	0.23572 	0.460358
40 	435   	0.309935	0.0547275	0.23572 	0.480392
41 	429   	0.309219	0.0541744	0.23572 	0.464194
42 	418   	0.304375	0.051487 	0.23572 	0.462489
43 	428   	0.305945	0.0541173	0.234015	0.456522
44 	411   	0.302276	0.0562254	0.234015	0.469309
45 	422   	0.307974	0.0585652	0.234015	0.475277
46 	427   	0.309737	0.0572994	0.233589	0.483802
47 	432   	0.306263	0.0570846	0.233589	0.471014
48 	454   	0.308665	0.0509651	0.233589	0.462916
49 	424   	0.309627	0.0547103	0.233589	0.462489
50 	430   	0.312125	0.0600384	0.233163	0.48295 
Loss of the best individual 0.23316
Loss: 0.26980, f1-score: 0.38679, acc: 0.16337
