gen	nevals	avg     	std      	min     	max     
0  	512   	0.552233	0.0686047	0.307332	0.709292
1  	423   	0.482866	0.0644582	0.307332	0.634697
2  	432   	0.437178	0.0660479	0.299233	0.597187
3  	437   	0.405277	0.0652372	0.298806	0.585678
4  	427   	0.387517	0.0620563	0.292413	0.549446
5  	439   	0.384938	0.0662408	0.286871	0.555413
6  	434   	0.375813	0.063497 	0.271952	0.546036
7  	441   	0.365542	0.0627514	0.271952	0.567775
8  	433   	0.369251	0.0655555	0.271952	0.533248
9  	416   	0.360104	0.06399  	0.271952	0.558824
10 	443   	0.363246	0.0647457	0.271952	0.557118
11 	426   	0.36152 	0.0664535	0.271952	0.564365
12 	427   	0.361445	0.0699283	0.270673	0.551151
13 	417   	0.362952	0.0728941	0.270673	0.554987
14 	434   	0.353234	0.0631103	0.266837	0.536232
15 	442   	0.35653 	0.0645916	0.266837	0.533248
16 	416   	0.351853	0.0674567	0.266837	0.546462
17 	418   	0.356582	0.0686795	0.263427	0.540921
18 	423   	0.34863 	0.0650055	0.255328	0.528986
19 	428   	0.348987	0.0673961	0.255328	0.529838
20 	431   	0.348528	0.0679767	0.255328	0.548593
21 	402   	0.340404	0.0662075	0.255328	0.534101
22 	413   	0.343441	0.0660063	0.255328	0.533674
23 	431   	0.335862	0.0608215	0.245951	0.507673
24 	423   	0.337638	0.0663013	0.245951	0.517477
25 	420   	0.336102	0.0639811	0.245951	0.497869
26 	428   	0.33549 	0.0662801	0.245951	0.51023 
27 	430   	0.333913	0.0658011	0.245951	0.528559
28 	432   	0.341535	0.0656584	0.245951	0.508525
29 	423   	0.329271	0.063622 	0.245524	0.508525
30 	430   	0.332592	0.0651574	0.244672	0.528133
31 	416   	0.332172	0.0672637	0.244246	0.519608
32 	422   	0.333094	0.0706099	0.244246	0.544757
33 	423   	0.332617	0.0716248	0.244246	0.540921
34 	425   	0.326203	0.0653113	0.244246	0.508525
35 	410   	0.332142	0.0688489	0.244246	0.521739
36 	437   	0.33027 	0.0664744	0.244246	0.52728 
37 	440   	0.340121	0.0692868	0.244246	0.523018
38 	436   	0.33544 	0.0684471	0.244246	0.524297
39 	433   	0.328918	0.0638545	0.244246	0.51023 
40 	424   	0.336985	0.0706418	0.244246	0.530691
41 	429   	0.340263	0.0726677	0.244246	0.540921
42 	443   	0.341896	0.0709221	0.244246	0.557971
43 	443   	0.336877	0.0674059	0.243819	0.535806
44 	437   	0.334943	0.06619  	0.243819	0.51023 
45 	418   	0.335254	0.0698628	0.243819	0.537937
46 	414   	0.331602	0.0687187	0.243819	0.522592
47 	435   	0.339277	0.0748035	0.243819	0.54902 
48 	426   	0.331183	0.0684931	0.243393	0.520034
49 	415   	0.328798	0.0675197	0.243393	0.509804
50 	423   	0.331215	0.0702373	0.243393	0.526002
Loss of the best individual 0.24339
Loss: 0.29620, f1-score: 0.34834, acc: 0.13366
