gen	nevals	avg     	std      	min     	max     
0  	512   	0.500218	0.0100686	0.459571	0.533333
1  	436   	0.491285	0.0115936	0.450524	0.520762
2  	439   	0.482544	0.0144799	0.435333	0.520476
3  	415   	0.473064	0.0179877	0.423524	0.523238
4  	446   	0.464574	0.0209203	0.416238	0.520429
5  	424   	0.452874	0.0217881	0.399095	0.510333
6  	422   	0.44446 	0.0219775	0.393143	0.503857
7  	422   	0.436922	0.0240729	0.38419 	0.501429
8  	417   	0.426402	0.0238671	0.360333	0.496667
9  	438   	0.41785 	0.024203 	0.34081 	0.484571
10 	439   	0.407626	0.0256192	0.330714	0.47419 
11 	427   	0.395027	0.0275326	0.330714	0.463143
12 	433   	0.386499	0.0284756	0.316048	0.45781 
13 	436   	0.3779  	0.0303649	0.316048	0.461905
14 	423   	0.37129 	0.0314877	0.312905	0.460286
15 	416   	0.366233	0.0332911	0.311429	0.445619
16 	430   	0.358952	0.0327403	0.302619	0.44181 
17 	426   	0.355974	0.0328368	0.302619	0.447952
18 	427   	0.352214	0.0331752	0.293095	0.445619
19 	435   	0.346648	0.0348121	0.284143	0.439429
20 	438   	0.337677	0.0309909	0.281952	0.416905
21 	422   	0.332494	0.0299933	0.281952	0.419429
22 	433   	0.329781	0.0316313	0.274333	0.408   
23 	406   	0.324364	0.0326323	0.271048	0.416571
24 	414   	0.323929	0.0337985	0.271048	0.415952
25 	428   	0.322435	0.0317978	0.26281 	0.407286
26 	413   	0.32068 	0.0350689	0.26281 	0.415476
27 	408   	0.31677 	0.0333761	0.26281 	0.416619
28 	422   	0.320973	0.0350717	0.26281 	0.411048
29 	418   	0.31907 	0.0342442	0.26281 	0.407524
30 	413   	0.318873	0.0364221	0.26281 	0.432857
31 	426   	0.320611	0.0370964	0.26281 	0.421048
32 	406   	0.314113	0.0363175	0.261619	0.41819 
33 	433   	0.312953	0.0321505	0.261619	0.393714
34 	421   	0.315992	0.0352532	0.259429	0.411381
35 	439   	0.319549	0.0355765	0.259429	0.412429
36 	460   	0.320267	0.0340964	0.25581 	0.410571
37 	426   	0.316647	0.0367122	0.25581 	0.409524
38 	439   	0.314516	0.0350668	0.255048	0.416048
39 	436   	0.316612	0.036913 	0.255048	0.419286
40 	433   	0.313798	0.0355984	0.255048	0.408524
41 	412   	0.309824	0.0354398	0.255048	0.414381
42 	415   	0.308732	0.0375615	0.255048	0.403476
43 	437   	0.311478	0.0367304	0.255048	0.402667
44 	424   	0.30852 	0.0360497	0.255048	0.407381
45 	423   	0.305205	0.0347946	0.255048	0.394667
46 	435   	0.304328	0.0332896	0.255048	0.401143
47 	436   	0.307911	0.0365998	0.255048	0.40981 
48 	441   	0.305223	0.0335713	0.255048	0.398571
49 	435   	0.308704	0.0362563	0.255048	0.396381
50 	422   	0.303846	0.0337554	0.255048	0.396095
Loss of the best individual 0.25505
Loss: 0.25697, f1-score: 0.12266, acc: 0.01200
