gen	nevals	avg     	std      	min     	max     
0  	512   	0.422508	0.0539361	0.281456	0.588048
1  	442   	0.352248	0.0352256	0.258522	0.435424
2  	415   	0.304501	0.0309215	0.220283	0.381004
3  	429   	0.268119	0.025782 	0.18841 	0.335321
4  	452   	0.239402	0.0226628	0.171878	0.296746
5  	439   	0.217769	0.0213764	0.156689	0.278163
6  	425   	0.197861	0.0193472	0.154052	0.251248
7  	435   	0.182811	0.0174035	0.14382 	0.232548
8  	439   	0.171485	0.0166717	0.132798	0.225508
9  	411   	0.161726	0.016532 	0.126598	0.205699
10 	427   	0.154936	0.0171743	0.116181	0.201129
11 	408   	0.148317	0.0164803	0.113409	0.199062
12 	426   	0.142647	0.0160357	0.109158	0.189267
13 	420   	0.139126	0.0180231	0.101598	0.196425
14 	411   	0.131081	0.0162248	0.101598	0.17917 
15 	436   	0.125101	0.015572 	0.0987752	0.170887
16 	421   	0.119229	0.0140308	0.0951629	0.158185
17 	436   	0.117305	0.0144974	0.0951293	0.155345
18 	440   	0.115261	0.0147367	0.0941548	0.161377
19 	427   	0.112631	0.0134702	0.0890472	0.151414
20 	440   	0.11098 	0.013321 	0.0890472	0.152892
21 	419   	0.108787	0.0133465	0.0889632	0.146457
22 	427   	0.108426	0.013842 	0.0889128	0.147096
23 	443   	0.108787	0.0139249	0.0879047	0.148726
24 	432   	0.108999	0.0150715	0.0879047	0.15264 
25 	421   	0.107739	0.0151476	0.086527 	0.147045
26 	412   	0.106792	0.0146795	0.086527 	0.157109
27 	444   	0.108067	0.0157326	0.0863926	0.154253
28 	440   	0.10683 	0.0148406	0.0863926	0.154102
29 	429   	0.105492	0.0146552	0.0833515	0.152069
30 	425   	0.105778	0.0155607	0.0833515	0.151901
31 	430   	0.104546	0.0143017	0.0833515	0.144324
32 	429   	0.103375	0.0142602	0.0827467	0.148272
33 	415   	0.101164	0.0131368	0.0827467	0.138225
34 	436   	0.101201	0.0129647	0.0820242	0.138628
35 	422   	0.100857	0.012908 	0.0820242	0.140174
36 	407   	0.099002	0.0127487	0.0816714	0.138309
37 	414   	0.0984926	0.0128856	0.0816714	0.140527
38 	434   	0.0995871	0.0126613	0.0816042	0.138645
39 	425   	0.100816 	0.0135517	0.0814698	0.135889
40 	414   	0.0996782	0.0135137	0.0807473	0.138258
41 	437   	0.100293 	0.0136391	0.0807473	0.141047
42 	444   	0.102439 	0.0151649	0.0807473	0.145533
43 	437   	0.101158 	0.0135627	0.0807473	0.142627
44 	440   	0.0990652	0.0125256	0.0807473	0.139115
45 	414   	0.10038  	0.0145926	0.079168 	0.140947
46 	420   	0.0990159	0.0131715	0.079168 	0.13725 
47 	424   	0.0988062	0.0136908	0.079168 	0.132781
48 	426   	0.0973265	0.0122994	0.0786304	0.130278
49 	443   	0.0986841	0.0135658	0.0786304	0.138275
50 	438   	0.0983054	0.0129751	0.0786304	0.136965
Loss of the best individual 0.07863
Loss: 0.07935, f1-score: 0.06418, acc: 0.00345
