gen	nevals	avg     	std      	min     	max     
0  	512   	0.420836	0.0512478	0.288278	0.582738
1  	443   	0.353439	0.0356536	0.255028	0.433576
2  	420   	0.308057	0.0301798	0.22166 	0.388027
3  	436   	0.27368 	0.0269763	0.213814	0.355836
4  	419   	0.246816	0.0230565	0.190527	0.311296
5  	426   	0.228211	0.019561 	0.180631	0.280331
6  	439   	0.21584 	0.0202799	0.1642  	0.270283
7  	432   	0.203043	0.020075 	0.153094	0.258254
8  	421   	0.191143	0.0192504	0.147264	0.243737
9  	417   	0.179288	0.0187647	0.125053	0.233052
10 	444   	0.170139	0.0203457	0.124515	0.220635
11 	442   	0.158928	0.0197194	0.115241	0.21252 
12 	416   	0.14692 	0.0186802	0.107529	0.193585
13 	454   	0.139887	0.0189238	0.102925	0.186428
14 	431   	0.13297 	0.0172874	0.102471	0.17838 
15 	432   	0.128184	0.0166115	0.10185 	0.172617
16 	426   	0.123689	0.0166589	0.101027	0.17586 
17 	434   	0.122314	0.0164931	0.0974647	0.173306
18 	425   	0.119687	0.0151184	0.0974647	0.162385
19 	421   	0.117555	0.0156072	0.0946925	0.159983
20 	429   	0.11619 	0.0155755	0.0943228	0.166501
21 	434   	0.113965	0.0149793	0.0925251	0.15511 
22 	423   	0.111009	0.0138007	0.0919538	0.150742
23 	448   	0.110117	0.0137206	0.089316 	0.150843
24 	412   	0.108609	0.013776 	0.089316 	0.150943
25 	425   	0.108297	0.0142895	0.089316 	0.152355
26 	430   	0.106989	0.013411 	0.0874679	0.150423
27 	428   	0.105357	0.013234 	0.0874679	0.145869
28 	437   	0.105821	0.0145708	0.0855861	0.147113
29 	448   	0.103054	0.0134213	0.0855861	0.146945
30 	421   	0.102947	0.0133769	0.0851661	0.141703
31 	406   	0.100588	0.0136641	0.0833683	0.141316
32 	438   	0.0983685	0.011853 	0.0833683	0.135049
33 	418   	0.0972373	0.0111552	0.0833683	0.140644
34 	416   	0.0972529	0.0120083	0.0833683	0.136326
35 	431   	0.0970126	0.0113284	0.0829315	0.130597
36 	436   	0.0969833	0.0116378	0.0829315	0.133268
37 	449   	0.0969493	0.0115378	0.0825955	0.131084
38 	426   	0.0973753	0.0126505	0.0825283	0.138594
39 	427   	0.0959204	0.0111098	0.0825283	0.128698
40 	443   	0.09561  	0.011631 	0.0814194	0.131857
41 	436   	0.0954322	0.0120769	0.0812682	0.138779
42 	456   	0.0962787	0.011774 	0.0812682	0.130311
43 	438   	0.0952031	0.012321 	0.0801257	0.135856
44 	447   	0.0948249	0.0118425	0.0801257	0.131907
45 	417   	0.0945374	0.0123872	0.0800585	0.135923
46 	418   	0.0931645	0.0122542	0.0783951	0.138158
47 	408   	0.0918361	0.0114396	0.0783951	0.126833
48 	434   	0.0930064	0.0131844	0.0783951	0.138443
49 	418   	0.0909749	0.0112166	0.0782439	0.12475 
50 	436   	0.0912025	0.0117711	0.0778071	0.126061
Loss of the best individual 0.07781
Loss: 0.07805, f1-score: 0.04472, acc: 0.00000
