gen	nevals	avg     	std      	min     	max     
0  	512   	0.542453	0.0948315	0.183884	0.849788
1  	434   	0.439723	0.0801166	0.183884	0.647597
2  	421   	0.372791	0.0834796	0.168029	0.576005
3  	431   	0.323196	0.0769486	0.158058	0.50948 
4  	421   	0.295316	0.0761628	0.138607	0.525662
5  	417   	0.277099	0.0806959	0.0760052	0.4915  
6  	421   	0.249594	0.0750463	0.0760052	0.435436
7  	423   	0.23721 	0.0783179	0.0753514	0.428735
8  	427   	0.216009	0.0769923	0.0743707	0.429552
9  	443   	0.216057	0.0784656	0.0663616	0.416476
10 	411   	0.197297	0.0798577	0.064727 	0.396862
11 	428   	0.193326	0.0805733	0.064727 	0.387055
12 	415   	0.18291 	0.0803568	0.0640732	0.413697
13 	438   	0.180488	0.0797195	0.0630925	0.386564
14 	447   	0.18831 	0.0809269	0.0619483	0.361393
15 	432   	0.187044	0.0792857	0.0619483	0.373978
16 	437   	0.182645	0.0747104	0.0617849	0.391958
17 	423   	0.176099	0.0786457	0.0617849	0.36221 
18 	428   	0.171523	0.0789083	0.0617849	0.382805
19 	424   	0.16918 	0.0751568	0.061458 	0.36221 
20 	426   	0.168992	0.0754309	0.0612945	0.383132
21 	437   	0.166922	0.071642 	0.0599869	0.339327
22 	415   	0.161788	0.0758781	0.0599869	0.360575
23 	438   	0.160994	0.0711164	0.0599869	0.348316
24 	437   	0.159385	0.072562 	0.0599869	0.354364
25 	427   	0.153815	0.0700072	0.0599869	0.34799 
26 	422   	0.143039	0.0638073	0.0598235	0.296012
27 	435   	0.146764	0.062308 	0.0598235	0.322818
28 	452   	0.143478	0.0597459	0.0598235	0.30304 
29 	416   	0.137545	0.0613277	0.0598235	0.313501
30 	430   	0.138658	0.0594259	0.0598235	0.30255 
31 	437   	0.137413	0.0591703	0.05966  	0.310396
32 	444   	0.130563	0.0546469	0.05966  	0.289964
33 	440   	0.131567	0.0539448	0.05966  	0.267898
34 	419   	0.123414	0.0529199	0.05966  	0.263321
35 	414   	0.11439 	0.047347 	0.0588428	0.244361
36 	414   	0.11696 	0.0485381	0.0588428	0.255476
37 	429   	0.119645	0.0519546	0.0588428	0.269369
38 	417   	0.117391	0.0505391	0.0586793	0.287022
39 	410   	0.118777	0.051725 	0.0586793	0.262014
40 	439   	0.12604 	0.0535323	0.0586793	0.269042
41 	421   	0.124213	0.0558251	0.0586793	0.276561
42 	433   	0.123191	0.051735 	0.0583524	0.25286 
43 	429   	0.121656	0.051813 	0.0580255	0.254331
44 	416   	0.120333	0.053536 	0.0580255	0.269369
45 	441   	0.124798	0.0536427	0.0580255	0.280811
46 	431   	0.127752	0.0542542	0.0580255	0.285387
47 	423   	0.123546	0.055224 	0.0580255	0.277051
48 	437   	0.127433	0.0552709	0.0580255	0.282772
49 	431   	0.121434	0.0511597	0.0580255	0.264956
50 	437   	0.123853	0.0543554	0.0580255	0.264466
Loss of the best individual 0.05803
Loss: 0.05508, f1-score: 0.00679, acc: 0.46749
