gen	nevals	avg     	std      	min     	max     
0  	512   	0.603754	0.0850425	0.330294	0.846172
1  	430   	0.503748	0.0664848	0.305496	0.658107
2  	438   	0.430572	0.0644314	0.259419	0.602272
3  	431   	0.376265	0.057458 	0.227102	0.538277
4  	414   	0.327862	0.0537785	0.195424	0.473722
5  	416   	0.29464 	0.0505223	0.193745	0.437885
6  	444   	0.275233	0.0519903	0.133109	0.440605
7  	436   	0.25427 	0.0500342	0.13015 	0.397728
8  	425   	0.233768	0.0515886	0.0975122	0.366691
9  	410   	0.208751	0.0490447	0.0975122	0.334773
10 	441   	0.193356	0.0504226	0.0951124	0.331094
11 	426   	0.183182	0.0516331	0.0951124	0.323254
12 	439   	0.176269	0.0504091	0.0950324	0.334853
13 	423   	0.170042	0.0545922	0.0950324	0.331174
14 	434   	0.159773	0.0487155	0.0652748	0.297096
15 	430   	0.159272	0.0516192	0.0652748	0.299256
16 	413   	0.151326	0.0536258	0.0652748	0.300136
17 	428   	0.143856	0.0522764	0.0651948	0.275258
18 	433   	0.137359	0.0505567	0.0650348	0.273098
19 	443   	0.14236 	0.0537949	0.0650348	0.271338
20 	443   	0.140062	0.0515567	0.0650348	0.270858
21 	405   	0.128606	0.0511348	0.0650348	0.264299
22 	443   	0.130112	0.0487189	0.0471162	0.271018
23 	440   	0.133466	0.0514519	0.0469562	0.265499
24 	412   	0.125967	0.048496 	0.0469562	0.258219
25 	420   	0.125159	0.0492154	0.0467963	0.242781
26 	424   	0.121931	0.05115  	0.0467163	0.296296
27 	441   	0.12294 	0.0523228	0.0467163	0.25422 
28 	447   	0.117811	0.048608 	0.0467163	0.25294 
29 	427   	0.116743	0.0513764	0.0467163	0.241741
30 	435   	0.112053	0.0500791	0.0467163	0.265339
31 	434   	0.107267	0.0486068	0.0467163	0.242301
32 	439   	0.104501	0.046611 	0.0467163	0.233901
33 	429   	0.105398	0.0478788	0.0467163	0.238541
34 	427   	0.10168 	0.0463384	0.0467163	0.221502
35 	427   	0.0995436	0.045518 	0.0467163	0.233661
36 	438   	0.102932 	0.0451672	0.0467163	0.235901
37 	435   	0.106418 	0.0484233	0.0467163	0.241821
38 	430   	0.0990007	0.0455548	0.0467163	0.217183
39 	443   	0.101082 	0.0430877	0.0467163	0.213823
40 	427   	0.102373 	0.0471256	0.0467163	0.241901
41 	415   	0.0964095	0.043026 	0.0467163	0.229502
42 	436   	0.0979106	0.0427518	0.0467163	0.214063
43 	434   	0.0989944	0.0429375	0.0467163	0.218223
44 	442   	0.0994169	0.0438851	0.0467163	0.212223
45 	428   	0.09608  	0.0445908	0.0467163	0.222862
46 	433   	0.0962698	0.0414686	0.0467163	0.207183
47 	442   	0.0988985	0.0448283	0.0467163	0.227982
48 	448   	0.100279 	0.0426945	0.0467163	0.219502
49 	404   	0.095208 	0.043505 	0.0465563	0.217983
50 	420   	0.0946838	0.0425641	0.0465563	0.220782
Loss of the best individual 0.04656
Loss: 0.04578, f1-score: 0.00000, acc: 0.00000
